"匹配的商品 ","商品定位","已添加为","展示量","点击次数","点击率 (CTR)","支出(USD)","单次点击成本 (CPC)(USD)","订单","销售额(USD)","ACOS","ROAS","转化率"
"b0b39q379x","substitutes","","37","3","8.11",1.24,0.41,"0",0,,"0.0","0.0"
"zipper by the yard rainbow","close-match","","38","4","10.53",2.16,0.54,"1",12.79,"16.888193901485536","5.921296296296296","25.0"
"rainbow nylon zipper coil","close-match","","6","1","16.67",0.61,0.61,"0",0,,"0.0","0.0"
"zipper replacement","loose-match","","5","2","40.00",1.12,0.56,"0",0,,"0.0","0.0"
"b0dymrhtbk","substitutes","","8","2","25.00",0.86,0.43,"0",0,,"0.0","0.0"
"zipper by the yard","loose-match","","2732","54","1.98",30.55,0.57,"4",63.96,"47.76422764227641","2.093617021276596","7.4074074074074066"
"hot pink zipper","loose-match","","16","3","18.75",1.61,0.54,"0",0,,"0.0","0.0"
"continuous zipper","loose-match","","44","6","13.64",3.21,0.54,"0",0,,"0.0","0.0"
"zippers","close-match","","7149","83","1.16",48.03,0.58,"4",63.96,"75.093808630394","1.3316677076826984","4.819277108433735"
"aqua zipper","close-match","","37","4","10.81",2.17,0.54,"0",0,,"0.0","0.0"
"#5 zipper","loose-match","","29","4","13.79",2.23,0.56,"0",0,,"0.0","0.0"
"heavy duty zipper replacement","loose-match","","8","2","25.00",1.04,0.52,"0",0,,"0.0","0.0"
"zipper replacement kit","loose-match","","9","2","22.22",1.09,0.54,"0",0,,"0.0","0.0"
"b0ccnh2s8r","substitutes","","3","2","66.67",0.86,0.43,"0",0,,"0.0","0.0"
"b0b53fdcfb","substitutes","","6","2","33.33",0.86,0.43,"0",0,,"0.0","0.0"
"#5 zipper tape rainbow teeth","close-match","","26","3","11.54",1.78,0.59,"0",0,,"0.0","0.0"
"purple zipper","loose-match","","310","14","4.52",7.78,0.56,"3",47.97,"16.218469877006463","6.165809768637531","21.428571428571427"
"b0c6twp4lz","substitutes","","29","3","10.34",1.29,0.43,"1",15.99,"8.067542213883677","12.395348837209303","33.33333333333333"
"b08ntfkwf6","substitutes","","24","3","12.50",1.22,0.41,"0",0,,"0.0","0.0"
"b0b84vhtj4","substitutes","","9","2","22.22",0.87,0.43,"0",0,,"0.0","0.0"
"metal teeth zipper tape","close-match","","7","1","14.29",0.67,0.67,"0",0,,"0.0","0.0"
"zippers with metal teeth","close-match","","4","1","25.00",0.67,0.67,"0",0,,"0.0","0.0"
"26 inch zipper","loose-match","","6","2","33.33",0.95,0.47,"0",0,,"0.0","0.0"
"b0dq5wplc6","substitutes","","14","2","14.29",0.7,0.35,"0",0,,"0.0","0.0"
"zipper rolls by the yard and pulls","loose-match","","16","4","25.00",2.12,0.53,"0",0,,"0.0","0.0"
"bag hardware for bag making","loose-match","","37","6","16.22",3.12,0.52,"1",15.99,"19.51219512195122","5.125","16.666666666666664"
"decorative zippers","loose-match","","97","10","10.31",5.5,0.55,"0",0,,"0.0","0.0"
"b09zyl1lf4","substitutes","","3","2","66.67",0.86,0.43,"0",0,,"0.0","0.0"
"purse zipper","close-match","","43","4","9.30",2.4,0.6,"0",0,,"0.0","0.0"
"fancy zipper","loose-match","","4","2","50.00",1.04,0.52,"0",0,,"0.0","0.0"
"black zipper","close-match","","9","2","22.22",1.17,0.58,"0",0,,"0.0","0.0"
"b09l5x2tm8","substitutes","","25","3","12.00",1.33,0.44,"0",0,,"0.0","0.0"
"by the yard zippers","close-match","","21","2","9.52",1.17,0.58,"0",0,,"0.0","0.0"
"b0by2rlk42","substitutes","","31","2","6.45",0.94,0.47,"0",0,,"0.0","0.0"
"zippers bulk","loose-match","","12","3","25.00",1.61,0.54,"0",0,,"0.0","0.0"
"b0785tglzy","substitutes","","3","2","66.67",0.86,0.43,"0",0,,"0.0","0.0"
"metal zipper by the yard","close-match","","17","2","11.76",1.17,0.58,"0",0,,"0.0","0.0"
"b0b721vt52","substitutes","","9","2","22.22",0.86,0.43,"0",0,,"0.0","0.0"
"purple zipper by the yard","close-match","","7","3","42.86",1.73,0.58,"1",15.99,"10.819262038774234","9.242774566473988","33.33333333333333"
"b087c6cy4s","substitutes","","56","3","5.36",1.16,0.39,"0",0,,"0.0","0.0"
"double zipper","loose-match","","26","3","11.54",1.56,0.52,"1",15.99,"9.75609756097561","10.25","33.33333333333333"
"b0db77bfck","substitutes","","16","4","25.00",1.76,0.44,"0",0,,"0.0","0.0"
"gold metallic 4.5 or 5 handbag zipper","loose-match","","5","2","40.00",1.04,0.52,"0",0,,"0.0","0.0"
"b0bt2jtm9f","substitutes","","4","2","50.00",0.86,0.43,"0",0,,"0.0","0.0"
"b09g5mpssb","substitutes","","9","3","33.33",1.27,0.42,"0",0,,"0.0","0.0"
"zipper tape","loose-match","","3040","62","2.04",35.23,0.57,"8",124.72,"28.247273893521495","3.540164632415554","12.903225806451612"
"zipper for purse","close-match","","14","3","21.43",1.73,0.58,"2",31.98,"5.409631019387117","18.485549132947977","66.66666666666666"
"sewing","close-match","","1885","20","1.06",11.31,0.57,"2",25.58,"44.21422986708367","2.2617152961980547","10.0"
"colorful zippers","loose-match","","65","7","10.77",3.96,0.57,"1",15.99,"24.76547842401501","4.037878787878787","14.285714285714285"
"b09yhfnk4v","substitutes","","123","4","3.25",1.76,0.44,"0",0,,"0.0","0.0"
"b08x9wb1zz","substitutes","","12","4","33.33",1.76,0.44,"0",0,,"0.0","0.0"
"purse hardware","loose-match","","31","5","16.13",2.64,0.53,"0",0,,"0.0","0.0"
"nylon zipper by the yard","close-match","","4","1","25.00",0.61,0.61,"0",0,,"0.0","0.0"
"purple heavy duty zipper","loose-match","","4","2","50.00",0.99,0.49,"0",0,,"0.0","0.0"
"b09kyg46ln","substitutes","","5","3","60.00",1.29,0.43,"0",0,,"0.0","0.0"
